s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0,0.01,0.0,96,8.0,sinh,1.5829613560922704e-10,1.5859202537624604e-10,1.611654166320984e-10,1.5860568290841914e-10,8.570921750106208e-14,1.5859202537624604e-10,-2.0041376622985179e+00+4.8262801557578555e+01j,-3.9418283076582652e+00-4.8101731481812521e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994909188061,0.9982857005089955,26113899.59321181,26113899.59321181,134726596.07390225,ok
0,0,0,0.0,0.01,0.0,112,8.0,sinh,9.260883269148418e-11,9.271437303433503e-11,9.394609718002857e-11,9.29727261600822e-11,2.7977620220553945e-14,9.271437303433503e-11,-2.0041376595721245e+00+4.8262801545561523e+01j,-3.9418283064344446e+00-4.8101731469743356e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491779059,0.998285700508193,52129305.37501322,52129305.37501322,268929917.3339653,ok
0,0,0,0.0,0.01,0.0,128,8.0,sinh,1.4643791803230793e-10,1.4633216406522426e-10,1.4856192753145394e-10,1.6604261191446318e-10,8.477663016037695e-13,1.4643791803230793e-10,-2.0041376596053961e+00+4.8262801557117101e+01j,-3.9418283114842620e+00-4.8101731480905308e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994909594635,0.9982857005081928,94899705.19968565,94899705.19968565,489616238.1920498,ok
0,0,0,0.0,0.01,0.0,160,8.0,sinh,3.2321251484888046e-10,3.2382543466105307e-10,3.2699152516135574e-10,3.2720392233323823e-10,1.9317880628477724e-14,3.2382543466105307e-10,-2.0041376635601611e+00+4.8262801565499224e+01j,-3.9418283061535844e+00-4.8101731489937208e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299490353374,0.9982857005096273,258391092.1739447,258391092.1739447,1333485710.9705236,ok
0,0,0,0.0,0.01,0.0,192,8.0,sinh,2.767585744918881e-10,2.765941842511515e-10,2.769630268031181e-10,2.8034418008408275e-10,1.1426415369442111e-12,2.767585744918881e-10,-2.0041376604788477e+00+4.8262801536620962e+01j,-3.9418283038444928e+00-4.8101731461051266e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994924104343,0.9982857005087321,585974515.13154,585974515.13154,3024925588.8840213,ok
0,0,0,0.0,0.01,0.0,224,8.0,sinh,1.6979842278769832e-09,1.7007892093755896e-09,1.7353887594571764e-09,1.7207381670026487e-09,3.5571545708990016e-13,1.7007892093755896e-09,-2.0041376812186105e+00+4.8262801631230694e+01j,-3.9418283012703128e+00-4.8101731557016521e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994856398333,0.9982857005140044,1171204356.3942208,1171204356.3942208,6047542181.513879,ok
0,0,0,0.0,0.01,0.0,64,10.0,sinh,1.5215704597860348e-11,1.5188424382314694e-11,1.528600995812519e-11,1.527150483635941e-11,2.7755575615628914e-14,1.5215704597860348e-11,-2.0041376604189574e+00+4.8262801549267998e+01j,-3.9418283071496578e+00-4.8101731473438917e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994915137087,0.9982857005084586,4477476.117636891,4477476.117636891,13304441.914481975,ok
0,0,0,0.0,0.01,0.0,80,10.0,sinh,6.008070410927952e-11,6.02232524887466e-11,6.232300056737211e-11,6.096420004478023e-11,5.6288307348495437e-14,6.02232524887466e-11,-2.0041376614400086e+00+4.8262801552865888e+01j,-3.9418283069146107e+00-4.8101731477109972e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994912555478,0.9982857005086881,12166387.265190868,12166387.265190868,35945418.9093685,ok
0,0,0,0.0,0.01,0.0,96,10.0,sinh,6.599650062718507e-12,6.804507168313232e-12,1.1802831750558111e-11,2.3226585048303034e-11,2.524647157997606e-13,6.804507168313232e-12,-2.0041376610055157e+00+4.8262801550298327e+01j,-3.9418283060916610e+00-4.8101731474590629e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914389129,0.9982857005088135,27554578.973657332,27554578.973657332,81174583.13872284,ok
0,0,0,0.0,0.01,0.0,112,10.0,sinh,4.9608433639099016e-11,4.954589290974408e-11,4.9969087392385834e-11,6.145835522655477e-11,1.603162047558726e-13,4.9608433639099016e-11,-2.0041376607098145e+00+4.8262801547593178e+01j,-3.9418283051885936e+00-4.8101731471935871e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994916316276,0.9982857005085287,55023751.685773544,55023751.685773544,161838089.4759968,ok
