branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
up,outer,36,2.0311316192453913e-13,2.0313142187891422e-13,-1.5079803521473224e-14,2.0255260075530460e-13
up,outer,37,2.5536226977554178e-13,2.5538522694557960e-13,1.9116749941928582e-14,2.5464571211111003e-13
up,outer,38,1.9241576331735176e-13,1.9243306157131979e-13,1.8282848211967689e-14,1.9154519945500405e-13
up,outer,39,1.9590130598737407e-13,1.9591891759302019e-13,-4.8381833270495264e-14,1.8983287359397148e-13
up,outer,40,2.2480796916408866e-13,2.2482817949029891e-13,-1.1053820811715590e-14,2.2453604620448879e-13
up,outer,41,1.6405441404312299e-13,1.6406916260046450e-13,8.4019128603309480e-15,1.6383912422654070e-13
up,outer,42,1.8861812341613523e-13,1.8863508026075947e-13,-5.0755663960793765e-14,1.8166083523127212e-13
up,outer,43,2.6936206078362694e-13,2.6938627654046753e-13,-5.8358076532060606e-16,2.6936142861050594e-13
up,outer,44,2.3120580129389029e-13,2.3122658678776414e-13,6.9648840192037174e-14,2.2046578331308910e-13
up,outer,45,1.7853509844213213e-13,1.7855114881878431e-13,7.0730729834566100e-15,1.7839493550634362e-13
up,outer,46,2.4943131591000152e-13,2.4945373988491816e-13,2.5271168334026595e-16,2.4943118789237261e-13
up,outer,47,2.3359092457564513e-13,2.3361192449305456e-13,6.5763599260833076e-14,2.2414251951908921e-13
up,outer,48,1.4989446399575611e-13,1.4990793956793324e-13,6.6987381880947266e-15,1.4974470689564417e-13
up,outer,49,2.2639087046127314e-13,2.2641122309094219e-13,-4.8567422978098683e-14,2.2111994856520615e-13
up,outer,50,2.7097587947050874e-13,2.7100024031029382e-13,3.1689098925393019e-14,2.6911657002888606e-13
up,outer,51,1.9695357411257806e-13,1.9697128031754887e-13,3.5209809240088970e-14,1.9378075159570240e-13
up,outer,52,2.0955977932971133e-13,2.0957861883756574e-13,-6.1799489288880103e-14,2.0024016639113866e-13
up,outer,53,2.6613562063141136e-13,2.6615954632999369e-13,-3.7357392756347335e-14,2.6350065232426752e-13
up,outer,54,2.1142714897985647e-13,2.1144615636498823e-13,3.6409610392125004e-14,2.0826852761961922e-13
up,outer,55,1.5547947323227639e-13,1.5549345089901439e-13,-9.1599682194083874e-15,1.5520941201745976e-13
up,outer,56,2.3157509332186214e-13,2.3159591201523678e-13,-4.0183895486394991e-14,2.2806200558305992e-13
up,outer,57,2.6002769709212243e-13,2.6005107368593924e-13,2.2934897494997024e-14,2.5901427322046664e-13
up,outer,58,1.9348934733650541e-13,1.9350674210610552e-13,1.8383253593230716e-14,1.9261407923626402e-13
up,outer,59,2.0309168979111560e-13,2.0310994781513731e-13,-4.5461154962798257e-14,1.9793816673814874e-13
up,outer,60,2.5255435626237278e-13,2.5257706099986438e-13,-1.2964296702861178e-15,2.5255102877876289e-13
up,outer,61,2.2388682215167003e-13,2.2390694966639598e-13,7.5238232956310270e-14,2.1086611258043697e-13
up,outer,62,1.7378442257076630e-13,1.7380004585976035e-13,3.8595699967769370e-14,1.6944437869770894e-13
up,outer,63,2.3640077384396842e-13,2.3642202636794926e-13,-9.7066482638539003e-16,2.3639878105401033e-13
up,outer,64,2.6883123157464888e-13,2.6885539960973160e-13,5.4285481259125119e-14,2.6329321600528884e-13
up,outer,65,1.9725015382026669e-13,1.9726788668787168e-13,6.8909324660182371e-14,1.8482188224611407e-13
up,outer,66,1.5526995592287978e-13,1.5528391475392801e-13,-4.7116494355044821e-15,1.5519845222130902e-13
up,outer,67,2.1152147930110726e-13,2.1154049516657256e-13,-2.5898255932193143e-14,2.0993002773638499e-13
up,outer,68,2.2905335070261731e-13,2.2907394269032338e-13,2.6701447786380901e-14,2.2749169249492911e-13
up,outer,69,1.8798955417820621e-13,1.8800645451420493e-13,2.7335550101283044e-14,1.8599150566835295e-13
up,outer,70,1.7767917922093117e-13,1.7769515265010353e-13,-2.8089286665213859e-14,1.7544481383974626e-13
up,outer,71,2.0789621724107071e-13,2.0791490719402899e-13,-2.8744486048660487e-14,2.0589946980248596e-13
up,outer,72,2.0064473006409684e-13,2.0066276810546185e-13,2.5580728515431686e-14,1.9900737180093119e-13
up,outer,73,1.6797343393695049e-13,1.6798853481574561e-13,3.2985343323593040e-14,1.6470288896797096e-13
up,outer,74,1.8042604047830563e-13,1.8044226085140206e-13,-5.0176363130030380e-15,1.8035625691533302e-13
up,outer,75,2.1306957824930868e-13,2.1308873328948769e-13,-8.9738411890585431e-15,2.1288051895289017e-13
up,outer,76,1.8828844562237109e-13,1.8830537282883001e-13,5.6978688082048948e-15,1.8820221318022028e-13
up,outer,77,1.5030155814747499e-13,1.5031507031757894e-13,-2.1492153560004240e-14,1.4875700224497671e-13
up,outer,78,1.6935016692776915e-13,1.6936539157540998e-13,-5.4028282750156686e-14,1.6050054112535696e-13
up,outer,79,1.9309547044773670e-13,1.9311282980764722e-13,-3.5895556985017097e-14,1.8972972802428234e-13
up,outer,80,1.8680806146914980e-13,1.8682485558848210e-13,5.1902926401587808e-16,1.8680734042987910e-13
up,outer,81,1.6897289657875122e-13,1.6898808730963699e-13,1.1384065296714265e-15,1.6896906169114676e-13
up,outer,82,1.6540898050571435e-13,1.6542385083912181e-13,-1.9705061250857315e-14,1.6423106098737762e-13
up,outer,83,1.7047423070175192e-13,1.7048955640317494e-13,-2.3783706769610092e-14,1.6880698630581420e-13
up,outer,84,1.7112156654224705e-13,1.7113695043942066e-13,-1.2840454223721026e-14,1.7063913171134342e-13
up,outer,85,1.6371825123376122e-13,1.6373296956993192e-13,-1.4687616401686630e-14,1.6305808692450019e-13
up,outer,86,1.5784497790858315e-13,1.5785916823513628e-13,-3.4643475795085204e-14,1.5399632020212836e-13
up,outer,87,1.6047770909151495e-13,1.6049213610165287e-13,-4.9182564547074316e-14,1.5275526328030000e-13
up,outer,88,1.5627142378578698e-13,1.5628547264919601e-13,-4.4739683569487568e-14,1.4973015262845073e-13
up,outer,89,1.4448885843595563e-13,1.4450184804203408e-13,-3.7760483146283245e-14,1.3946747335735627e-13
up,outer,90,1.4656415784741719e-13,1.4657733402374156e-13,-3.5901947329213391e-14,1.4209891816440056e-13
up,outer,91,1.6156855494817583e-13,1.6158308002579192e-13,-1.6455883857467788e-14,1.6072834794929998e-13
up,outer,92,1.6071353054394152e-13,1.6072797875452219e-13,1.8027233252379518e-14,1.5969927288864756e-13
up,outer,93,1.3791062967797725e-13,1.3792302789866320e-13,2.9813531922984762e-14,1.3464952689279436e-13
up,outer,94,1.2854013184181077e-13,1.2855168765099892e-13,1.2395978833094065e-14,1.2794102236061575e-13
up,outer,95,1.4833869530514459e-13,1.4835203101309510e-13,4.9037104501594683e-15,1.4825762087883888e-13
up,outer,96,1.5221649162086010e-13,1.5223017594424810e-13,1.7443042180306054e-14,1.5121375797479355e-13
up,outer,97,1.2616705884759120e-13,1.2617840131656940e-13,1.5186457663326267e-14,1.2524974348034228e-13
up,outer,98,1.1517339387155384e-13,1.1518374800566014e-13,-9.5798605429823535e-15,1.1477428687588996e-13
up,outer,99,1.3343163046771375e-13,1.3344362602458189e-13,-1.7980500646177403e-14,1.3221460435891844e-13
up,outer,100,1.3795083341403030e-13,1.3796323524904816e-13,-1.0920675553098329e-15,1.3794651074992863e-13
up,outer,101,1.2026648224946288e-13,1.2027729425424839e-13,4.5024588883926703e-15,1.2018217262397407e-13
up,outer,102,1.1305365582473437e-13,1.1306381939354368e-13,-1.5019793989451056e-14,1.1205148318452526e-13
up,outer,103,1.2721294805680815e-13,1.2722438455164397e-13,-2.7573636632674752e-14,1.2418868191648298e-13
