branch,subdomain,node_index,z,abs_residual,relative_residual,term_scale,radial_abs_residual,radial_relative_residual,radial_term_scale,real_residual,imag_residual
down,outer,70,9.1257639051256102e-03,4.6828195235469892e-10,3.8743659620188170e-11,1.2086673198798472e+01,4.6584944597378525e-10,2.0219357115441192e-14,2.3039775365460242e+04,-3.9211744962130979e-10,2.5599197761572157e-10
down,outer,71,9.3692062426301449e-03,1.5587002023526328e-09,1.2895314566520930e-10,1.2087337569874883e+01,1.5595769250614781e-09,7.1315422293680694e-14,2.1868718923643999e+04,1.1411316336307209e-09,-1.0617744183871736e-09
down,outer,72,9.6150398879604800e-03,1.0110788866160188e-09,8.3643105631054045e-11,1.2088012263387757e+01,1.0112063926034498e-09,4.8674217550430461e-14,2.0774990200012100e+04,8.8570306644442098e-10,4.8765827487251556e-10
down,outer,73,9.8632227187870382e-03,1.3742453922719523e-09,1.1368018897614427e-10,1.2088697288850714e+01,1.3757752260487828e-09,6.9650832014323783e-14,1.9752459321172973e+04,1.3335821336113440e-09,-3.3182689929134312e-10
down,outer,74,1.0113712210259413e-02,2.6042658074147011e-09,2.1541742328066301e-10,1.2089392620863611e+01,2.6024389752209797e-09,1.3846030920069440e-13,1.8795559465700862e+04,1.9124035688378171e-09,-1.7677423413964277e-09
down,outer,75,1.0366465442292758e-02,2.4881670913079353e-09,2.0580205694644837e-10,1.2090098263475472e+01,2.4865765308945735e-09,1.3892087879567324e-13,1.7899228340988720e+04,1.5085834803585385e-09,1.9786741412008979e-09
down,outer,76,1.0621439106921943e-02,8.7744714765985665e-10,7.2571386309592481e-11,1.2090814193856398e+01,8.7761293498851964e-10,5.1446176285827118e-14,1.7058856427203373e+04,8.9414697868051007e-11,8.7287943539848811e-10
down,outer,77,1.0878589515722147e-02,1.1607190980054868e-09,9.5994311692886738e-11,1.2091540400007862e+01,1.1599652069519021e-09,7.1293670311320132e-14,1.6270241129214537e+04,-1.1576295477766507e-09,8.4632467700629377e-11
down,outer,78,1.1137872607294631e-02,2.0901334216977734e-09,1.7284862445233295e-10,1.2092276859710715e+01,2.0896950241589190e-09,1.3456253075811229e-13,1.5529546095675960e+04,-1.1895666673922278e-09,-1.7186008449687762e-09
down,outer,79,1.1399243954816448e-02,1.4996106665142653e-09,1.2400626360139558e-10,1.2093023553508541e+01,1.4995372329712969e-09,1.0109286299047118e-13,1.4833265065533265e+04,-1.0859624310910476e-09,-1.0341749123732313e-09
down,outer,80,1.1662658773652740e-02,2.0635492434680448e-09,1.7062896517691181e-10,1.2093780451217718e+01,2.0630838061838578e-09,1.4551108791316743e-13,1.4178189688300499e+04,-1.5240253503634449e-09,-1.3912520302472586e-09
down,outer,81,1.1928071929030370e-02,4.7795729839258142e-10,3.9518410857842831e-11,1.2094547529046858e+01,4.7762593398914985e-10,3.5219565005223764e-14,1.3561380838130975e+04,-1.6475443231911413e-10,-4.4866374504515250e-10
down,outer,82,1.2195437943771505e-02,1.1116846367367831e-09,9.1910276033023234e-11,1.2095324752776897e+01,1.1134975765171855e-09,8.5784692519370977e-14,1.2980143004717858e+04,1.0886429535617026e-09,-2.2516494224689154e-10
